Date,Day_of_Week,Hour,Department,Staff_Count,Num_Patients,Average_Wait_Time,Emergency_Load,Label
2025-01-22,Sunday,6,Surgery,10,9,30,No,Low
2025-09-15,Saturday,20,Cardiology,14,7,17,Yes,Low
2025-04-23,Friday,17,Emergency,4,37,63,Yes,High
2025-01-01,Thursday,2,Pediatrics,5,8,20,Yes,Low
2025-10-07,Wednesday,19,Cardiology,4,22,51,Yes,High
2025-09-19,Thursday,4,Radiology,3,10,22,Yes,Medium
2025-01-13,Wednesday,7,Radiology,4,7,23,No,Low
2025-09-17,Friday,16,Emergency,11,28,51,Yes,High
2025-02-12,Monday,7,Cardiology,10,21,55,No,High
2025-08-19,Wednesday,3,Emergency,6,26,58,Yes,High
2025-08-20,Friday,12,Radiology,3,11,19,Yes,Medium
2025-07-09,Friday,3,Cardiology,14,23,38,Yes,High
2025-08-08,Sunday,18,Emergency,14,40,74,Yes,High
2025-05-01,Tuesday,16,Pediatrics,7,10,14,No,Medium
2025-01-31,Thursday,21,Emergency,13,44,82,Yes,High
2025-07-18,Sunday,16,Radiology,11,22,38,Yes,High
2025-02-06,Thursday,23,Surgery,6,17,36,No,Medium
2025-01-04,Wednesday,4,Radiology,4,18,33,Yes,Medium
2025-04-14,Monday,21,Radiology,9,9,20,Yes,Low
2025-09-20,Monday,5,Radiology,13,7,16,No,Low
2025-06-11,Saturday,12,Radiology,3,12,21,Yes,Medium
2025-04-17,Saturday,23,Surgery,13,26,45,Yes,High
2025-02-20,Saturday,14,Pediatrics,8,16,39,Yes,Medium
2025-09-04,Saturday,7,Cardiology,5,28,46,No,High
2025-06-14,Friday,11,Radiology,7,8,19,Yes,Low
2025-01-21,Wednesday,4,Cardiology,5,14,34,Yes,Medium
2025-05-16,Monday,20,Cardiology,15,23,43,Yes,High
2025-02-17,Wednesday,23,Emergency,11,32,59,Yes,High
2025-01-17,Sunday,2,Pediatrics,9,15,33,Yes,Medium
2025-03-06,Thursday,21,Pediatrics,13,15,32,No,Medium
2025-06-12,Sunday,6,Radiology,10,7,24,Yes,Low
2025-06-25,Friday,19,Cardiology,13,28,55,Yes,High
2025-02-16,Saturday,5,Cardiology,3,23,42,Yes,High
2025-01-29,Thursday,1,Cardiology,15,9,27,No,Low
2025-06-02,Saturday,1,Emergency,13,17,41,No,Medium
2025-02-21,Sunday,6,Surgery,8,5,20,Yes,Low
2025-05-12,Saturday,11,Surgery,4,22,50,No,High
2025-07-17,Friday,2,Cardiology,15,5,18,Yes,Low
2025-02-18,Monday,18,Emergency,13,39,60,Yes,High
2025-07-13,Monday,23,Pediatrics,4,15,32,No,Medium
2025-02-15,Friday,19,Cardiology,4,15,22,No,Medium
2025-05-15,Friday,11,Radiology,12,16,32,No,Medium
2025-05-05,Sunday,2,Surgery,9,4,9,Yes,Low
2025-05-10,Wednesday,8,Cardiology,8,13,34,No,Medium
2025-10-13,Friday,21,Surgery,15,8,32,No,Low
2025-08-12,Friday,15,Emergency,12,30,59,Yes,High
2025-10-04,Wednesday,3,Emergency,4,31,63,Yes,High
2025-04-19,Saturday,3,Pediatrics,10,5,24,No,Low
2025-08-19,Sunday,5,Surgery,10,0,15,No,Low
2025-07-28,Wednesday,9,Emergency,7,39,70,Yes,High
2025-08-20,Saturday,16,Emergency,11,38,67,Yes,High
2025-07-09,Friday,5,Pediatrics,9,11,25,Yes,Medium
2025-07-04,Wednesday,13,Radiology,3,21,39,No,High
2025-01-15,Thursday,6,Surgery,15,18,42,Yes,Medium
2025-10-09,Thursday,17,Pediatrics,11,13,39,Yes,Medium
2025-08-28,Sunday,8,Pediatrics,6,11,29,Yes,Medium
2025-08-23,Monday,21,Pediatrics,15,25,50,Yes,High
2025-01-25,Friday,13,Pediatrics,6,17,35,No,Medium
2025-05-24,Monday,17,Surgery,15,22,51,No,High
2025-10-13,Saturday,10,Radiology,11,6,35,No,Low
2025-06-11,Sunday,15,Cardiology,5,16,40,Yes,Medium
2025-05-05,Sunday,0,Cardiology,15,10,23,No,Medium
2025-05-24,Friday,8,Emergency,3,24,54,Yes,High
2025-01-16,Sunday,6,Surgery,14,18,31,Yes,Medium
2025-05-27,Thursday,9,Pediatrics,4,13,28,No,Medium
2025-08-15,Tuesday,11,Radiology,10,16,33,Yes,Medium
2025-06-04,Thursday,19,Cardiology,15,19,38,No,Medium
2025-09-09,Monday,3,Radiology,12,10,28,No,Medium
2025-01-07,Friday,3,Cardiology,3,22,46,No,High
2025-05-30,Friday,17,Radiology,6,15,31,No,Medium
2025-08-06,Tuesday,21,Radiology,11,25,49,Yes,High
2025-04-18,Monday,15,Radiology,12,3,20,Yes,Low
2025-06-10,Thursday,8,Surgery,13,13,26,Yes,Medium
2025-08-27,Saturday,17,Pediatrics,12,11,21,Yes,Medium
2025-02-24,Thursday,5,Pediatrics,8,8,11,No,Low
2025-07-07,Tuesday,19,Surgery,12,15,27,Yes,Medium
2025-03-03,Monday,6,Surgery,6,16,37,Yes,Medium
2025-08-30,Wednesday,9,Pediatrics,15,18,42,Yes,Medium
2025-10-12,Monday,15,Emergency,14,29,51,Yes,High
2025-08-26,Sunday,22,Pediatrics,6,6,31,Yes,Low
2025-08-18,Friday,20,Pediatrics,11,13,32,Yes,Medium
2025-04-08,Saturday,19,Emergency,6,32,51,Yes,High
2025-01-11,Saturday,5,Surgery,15,8,25,No,Low
2025-02-17,Wednesday,13,Radiology,15,10,23,Yes,Medium
2025-06-02,Monday,13,Radiology,12,15,25,No,Medium
2025-07-19,Saturday,15,Emergency,3,35,58,Yes,High
2025-07-23,Tuesday,3,Pediatrics,4,16,31,Yes,Medium
2025-04-05,Wednesday,13,Surgery,13,7,22,Yes,Low
2025-05-13,Tuesday,12,Emergency,15,29,52,Yes,High
2025-09-05,Monday,20,Radiology,4,4,19,No,Low
2025-07-01,Monday,5,Cardiology,3,8,27,No,Low
2025-01-18,Friday,14,Cardiology,8,24,52,Yes,High
2025-10-07,Wednesday,2,Surgery,5,13,30,No,Medium
2025-08-04,Wednesday,15,Cardiology,7,11,32,Yes,Medium
2025-01-24,Thursday,15,Emergency,11,29,49,Yes,High
2025-08-25,Saturday,19,Cardiology,3,26,40,Yes,High
2025-03-18,Sunday,3,Emergency,8,17,35,No,Medium
2025-04-19,Monday,1,Emergency,6,22,50,Yes,High
2025-09-27,Wednesday,0,Emergency,7,29,58,Yes,High
2025-09-13,Wednesday,4,Emergency,5,30,57,Yes,High
2025-09-27,Saturday,19,Surgery,7,7,23,No,Low
2025-02-14,Sunday,12,Pediatrics,14,19,41,No,Medium
2025-09-07,Tuesday,2,Radiology,14,0,8,No,Low
2025-07-04,Saturday,9,Pediatrics,7,24,52,Yes,High
2025-09-30,Wednesday,18,Emergency,9,44,69,Yes,High
2025-10-06,Tuesday,18,Surgery,12,2,14,No,Low
2025-05-18,Saturday,14,Pediatrics,11,15,32,Yes,Medium
2025-05-24,Tuesday,2,Emergency,15,27,53,Yes,High
2025-04-30,Monday,7,Surgery,5,14,33,No,Medium
2025-06-22,Thursday,11,Radiology,14,6,21,Yes,Low
2025-04-14,Friday,15,Emergency,13,37,69,Yes,High
2025-04-12,Monday,5,Surgery,6,8,19,No,Low
2025-02-20,Wednesday,13,Surgery,10,23,41,No,High
2025-08-26,Friday,0,Cardiology,7,17,42,No,Medium
2025-01-10,Tuesday,18,Surgery,5,0,13,No,Low
2025-04-27,Tuesday,2,Emergency,11,26,50,Yes,High
2025-04-21,Friday,13,Cardiology,5,9,19,No,Low
2025-07-21,Tuesday,9,Cardiology,3,16,37,No,Medium
2025-10-14,Sunday,5,Radiology,6,1,5,No,Low
2025-05-26,Saturday,4,Surgery,4,14,30,No,Medium
2025-03-29,Monday,20,Radiology,10,15,33,No,Medium
2025-07-13,Monday,17,Pediatrics,3,24,44,Yes,High
2025-03-30,Sunday,23,Pediatrics,10,15,38,Yes,Medium
2025-01-17,Friday,8,Surgery,6,10,20,Yes,Medium
2025-05-16,Thursday,18,Pediatrics,10,18,41,No,Medium
2025-04-09,Wednesday,13,Pediatrics,11,11,29,Yes,Medium
2025-02-12,Monday,17,Emergency,9,34,59,Yes,High
2025-01-01,Monday,7,Cardiology,11,21,29,No,High
2025-03-11,Thursday,21,Surgery,3,6,17,No,Low
2025-09-06,Sunday,3,Emergency,11,34,57,Yes,High
2025-01-17,Tuesday,9,Emergency,15,27,49,Yes,High
2025-05-09,Monday,17,Emergency,6,37,61,Yes,High
2025-01-02,Thursday,3,Cardiology,3,19,33,Yes,Medium
2025-02-22,Saturday,10,Emergency,10,22,46,Yes,High
2025-05-10,Thursday,19,Pediatrics,10,17,37,Yes,Medium
2025-04-21,Monday,21,Surgery,10,16,35,No,Medium
2025-08-08,Wednesday,14,Cardiology,11,23,42,Yes,High
2025-01-23,Tuesday,13,Surgery,3,18,40,Yes,Medium
2025-01-21,Saturday,20,Radiology,5,22,43,No,High
2025-08-02,Tuesday,8,Radiology,12,13,33,Yes,Medium
2025-06-21,Friday,9,Pediatrics,13,13,28,No,Medium
2025-04-13,Monday,18,Emergency,6,34,64,Yes,High
2025-05-08,Sunday,21,Emergency,13,38,61,Yes,High
2025-02-25,Monday,0,Pediatrics,3,10,26,Yes,Medium
2025-08-04,Thursday,18,Radiology,14,11,29,No,Medium
2025-09-22,Saturday,11,Surgery,14,15,37,Yes,Medium
2025-08-18,Friday,19,Surgery,4,9,23,No,Low
2025-07-05,Saturday,19,Radiology,11,13,31,No,Medium
2025-10-06,Friday,0,Emergency,8,23,47,Yes,High
2025-07-28,Friday,0,Surgery,12,5,20,Yes,Low
2025-09-14,Monday,13,Pediatrics,5,9,11,No,Low
2025-01-05,Sunday,3,Pediatrics,12,6,21,No,Low
2025-08-21,Sunday,3,Surgery,15,5,16,No,Low
2025-07-27,Friday,23,Surgery,3,19,31,Yes,Medium
2025-09-16,Friday,9,Cardiology,12,9,29,Yes,Low
2025-03-12,Monday,10,Radiology,6,9,29,Yes,Low
2025-01-10,Thursday,9,Emergency,3,35,69,Yes,High
2025-08-31,Sunday,10,Radiology,7,6,19,No,Low
2025-07-26,Tuesday,2,Emergency,5,27,52,Yes,High
2025-03-31,Friday,8,Surgery,8,12,29,Yes,Medium
2025-08-14,Monday,13,Surgery,13,14,31,Yes,Medium
2025-06-03,Wednesday,14,Pediatrics,9,13,31,No,Medium
2025-07-08,Friday,4,Emergency,7,18,35,No,Medium
2025-09-10,Saturday,0,Pediatrics,14,4,26,Yes,Low
2025-01-02,Sunday,9,Pediatrics,10,10,25,No,Medium
2025-05-10,Sunday,16,Cardiology,14,15,34,No,Medium
2025-05-05,Friday,3,Pediatrics,14,12,33,No,Medium
2025-08-08,Sunday,23,Pediatrics,6,8,22,No,Low
2025-09-22,Tuesday,6,Radiology,13,1,5,Yes,Low
2025-07-26,Thursday,6,Surgery,4,3,13,Yes,Low
2025-08-03,Saturday,10,Emergency,11,27,45,Yes,High
2025-07-07,Monday,7,Radiology,10,13,28,No,Medium
2025-10-14,Tuesday,1,Emergency,11,19,36,No,Medium
2025-08-07,Sunday,12,Pediatrics,11,12,29,No,Medium
2025-01-27,Monday,13,Radiology,13,9,19,Yes,Low
2025-07-23,Wednesday,11,Pediatrics,4,14,34,Yes,Medium
2025-03-03,Saturday,19,Emergency,15,40,72,Yes,High
2025-02-24,Sunday,16,Emergency,5,40,69,Yes,High
2025-02-04,Sunday,5,Surgery,7,5,18,Yes,Low
2025-08-19,Tuesday,4,Surgery,5,6,22,No,Low
2025-05-24,Wednesday,22,Pediatrics,13,22,48,No,High
2025-04-21,Wednesday,10,Emergency,14,24,43,Yes,High
2025-08-17,Friday,3,Emergency,5,31,63,Yes,High
2025-09-15,Saturday,18,Surgery,14,8,20,No,Low
2025-08-05,Saturday,16,Surgery,15,6,19,No,Low
2025-08-29,Friday,14,Radiology,9,13,30,No,Medium
2025-05-02,Thursday,10,Emergency,11,33,47,Yes,High
2025-09-06,Saturday,1,Emergency,12,25,48,Yes,High
2025-03-18,Sunday,14,Surgery,6,12,34,Yes,Medium
2025-08-31,Tuesday,10,Cardiology,7,14,31,Yes,Medium
2025-01-08,Thursday,2,Emergency,11,30,50,Yes,High
2025-05-06,Friday,3,Cardiology,15,15,32,Yes,Medium
2025-09-17,Saturday,5,Emergency,7,22,45,Yes,High
2025-04-08,Thursday,16,Radiology,6,16,36,Yes,Medium
2025-09-16,Tuesday,11,Radiology,6,8,23,No,Low
2025-08-07,Sunday,20,Surgery,14,5,15,Yes,Low
2025-06-30,Sunday,0,Radiology,9,5,14,Yes,Low
2025-06-17,Saturday,9,Radiology,12,8,19,No,Low
2025-06-25,Friday,21,Emergency,6,38,70,Yes,High
2025-03-29,Saturday,20,Pediatrics,9,25,49,Yes,High
2025-05-02,Friday,21,Surgery,4,10,23,No,Medium
2025-01-11,Saturday,13,Cardiology,7,20,39,No,High
2025-02-24,Monday,23,Cardiology,9,22,42,No,High
2025-09-20,Wednesday,20,Surgery,7,14,32,Yes,Medium
2025-04-07,Friday,17,Pediatrics,5,19,42,Yes,Medium
2025-07-23,Saturday,4,Pediatrics,9,25,56,No,High
2025-06-22,Friday,20,Cardiology,12,18,32,No,Medium
2025-06-15,Wednesday,23,Surgery,8,13,30,No,Medium
2025-01-10,Friday,12,Cardiology,7,13,25,Yes,Medium
2025-01-13,Friday,2,Emergency,4,33,64,Yes,High
2025-07-18,Friday,6,Pediatrics,15,12,23,No,Medium
2025-02-06,Thursday,21,Radiology,10,13,26,Yes,Medium
2025-09-05,Wednesday,20,Radiology,15,15,27,No,Medium
2025-05-26,Friday,8,Radiology,4,5,16,No,Low
2025-03-19,Thursday,14,Radiology,5,15,23,No,Medium
2025-01-28,Tuesday,3,Emergency,9,23,41,Yes,High
2025-02-11,Tuesday,11,Radiology,15,4,12,No,Low
2025-10-12,Sunday,11,Cardiology,7,30,51,Yes,High
2025-04-08,Thursday,0,Radiology,4,10,28,No,Medium
2025-06-29,Monday,3,Pediatrics,8,10,18,Yes,Medium
2025-10-09,Saturday,11,Emergency,8,37,66,Yes,High
